"V_mL","pH"
0,2.8752770583928315
2,3.7988551064395617
4,4.144996399769682
6,4.377876362738107
8,4.569319058418336
10,4.745196012877297
12,4.921165914876151
14,5.112975311662366
16,5.34700710458522
18,5.699152868323551
19.8,6.7404733444618286
19.9,7.043545590152392
19.98,7.739647850952328
19.99,8.027564392815723
20.,8.72167683874839
20.01,9.416041027093913
20.02,9.703519203973155
20.2,10.696852257105936
22,11.677780485391203
26,12.115393480392028
30,12.301029932028586
34,12.413734288841619
38,12.491844549070086
